,Team,Position,Age,No,Player,Height
273,Lal,G,27.23,12,Kendrick Nunn,6-2
274,Por,C,28.17,27,Jusuf Nurkić,6-11
275,Mil,F,24.13,13,Jordan Nwora,6-8
276,Orl,F,24.19,3,Chuma Okeke,6-6
277,Pho,G,24.15,2,Josh Okogie,6-4
278,Atl,F-C,21.87,17,Onyeka Okongwu,6-8
279,Cle,F-G,21.75,35,Isaac Okoro,6-5
280,Sac,F-G,23.49,30,KZ Okpala,6-8
281,Uta,F-C,31.52,41,Kelly Olynyk,6-11
282,Okc,F,25.69,97,Eugene Omoruyi,6-7
283,Bro,F,29.39,-1,Royce O'Neale,6-4
284,Cle,F,27.55,16,Cedi Osman,6-7
285,Cha,F-G,26.88,12,Kelly Oubre Jr.,6-7
286,Pho,G,37.47,3,Chris Paul,6-0
287,Pho,G,28.21,15,Cameron Payne,6-1
288,Dal,G-F,26.97,1,Theo Pinson,6-5
289,Lal,G,21.95,14,Scotty Pippen Jr,6-3
290,Cha,F-C,32.64,24,Mason Plumlee,6-11
291,San,C,27.03,25,Jakob Poeltl,7-1
292,Okc,C,20.83,17,Aleksej Pokusevski,7-0
293,Gol,G,23.35,3,Jordan Poole,6-4
294,Hou,G-F,22.47,3,Kevin Porter Jr.,6-4
295,Den,F,24.32,1,Michael Porter Jr.,6-10
296,Mil,F,27.7,9,Bobby Portis,6-10
297,Was,F-C,27.23,6,Kristaps Porziņģis,7-3
298,Dal,F-C,31.27,7,Dwight Powell,6-10
299,Lac,G,29.42,24,Norman Powell,6-3
300,Lac,G,23.21,0,Jason Preston,6-4
301,San,G,19.84,11,Joshua Primo,6-6
302,Min,F,28.59,12,Taurean Prince,6-7
303,Bos,G,24.74,11,Payton Pritchard,6-1
304,Nyk,G,23.36,5,Immanuel Quickley,6-3
305,Nyk,F-C,27.9,30,Julius Randle,6-8
306,Lal,G,24.41,15,Austin Reaves,6-5
307,Nyk,F-G,23.15,0,Cam Reddish,6-8
308,Den,G,27.37,9,Davon Reed,6-5
309,Phi,F,23.36,44,Paul Reed,6-9
310,Min,C-F,23.16,11,Naz Reid,6-9
311,Cha,C,24.9,4,Nick Richards,7-0
312,San,G,29.11,7,Josh Richardson,6-5
313,Min,G,30.23,25,Austin Rivers,6-4
314,Mia,F,28.51,55,Duncan Robinson,6-7
315,Okc,F,21.97,50,Jeremiah Robinson-Earl,6-9
316,Nyk,C-F,24.57,23,Mitchell Robinson,7-0
317,San,F,24.72,18,Isaiah Roby,6-8
318,Mem,F,21.58,27,David Roddy,6-6
319,Gol,G,20.31,2,Ryan Rollins,6-4
320,Nyk,G,34.06,4,Derrick Rose,6-2
321,Orl,G-F,31.72,31,Terrence Ross,6-6
322,Cha,G,28.61,3,Terry Rozier,6-1
323,Min,G,26.67,0,D'Angelo Russell,6-4
324,Lal,F,25.52,37,Matt Ryan,6-7
325,Sac,F-C,26.48,10,Domantas Sabonis,6-11
326,Pho,F,28.55,20,Dario Šarić,6-10
327,Hou,C,20.25,28,Alperen Şengün,6-9
328,Uta,G,23.81,2,Collin Sexton,6-1
329,Pho,G,25.62,14,Landry Shamet,6-4
330,Bro,F,20.97,20,Day'Ron Sharpe,6-11
331,Por,G,19.41,17,Shaedon Sharpe,6-6
332,Tor,F,28.56,43,Pascal Siakam,6-9
333,Bro,G-F,26.26,10,Ben Simmons,6-10
334,Chi,C,23.03,19,Marko Simonovic,6-11
335,Por,G,23.38,1,Anfernee Simons,6-3
336,Nyk,C,24.01,45,Jericho Sims,6-10
337,Bos,G,28.64,36,Marcus Smart,6-3
338,Cha,G,24.92,8,Dennis Smith Jr.,6-2
339,Hou,F,19.45,1,Jabari Smith Jr.,6-10
340,Den,G,34.3,14,Ish Smith,6-0
341,Ind,F-C,22.61,25,Jalen Smith,6-10
342,San,F,19.43,10,Jeremy Sochan,6-9
343,Phi,G,20.08,11,Jaden Springer,6-4
344,Cle,F,25.3,8,Lamar Stevens,6-6
345,Det,F-C,21.43,28,Isaiah Stewart,6-8
346,Mia,G-F,26.58,31,Max Strus,6-5
347,Orl,G,21.39,4,Jalen Suggs,6-4
348,Bro,G,26.82,4,Edmond Sumner,6-4
349,Lal,F,23.47,20,Cole Swider,6-9
350,Bos,F-G,24.65,0,Jayson Tatum,6-8
351,Ind,G,23.09,21,Terry Taylor,6-5
352,Chi,F,20.29,25,Dalen Terry,6-7
353,Bro,G,21.03,24,Cam Thomas,6-4
354,Gol,G,32.71,11,Klay Thompson,6-6
355,Cha,F,20.16,21,JT Thor,6-10
356,Phi,G-F,25.64,22,Matisse Thybulle,6-5
357,Mem,F,23.78,2,Xavier Tillman,6-8
358,Nyk,F,24.64,1,Obi Toppin,6-9
359,Lal,F,29.54,95,Juan Toscano-Anderson,6-6
360,Min,C-F,26.94,32,Karl-Anthony Towns,6-11
361,Tor,G-F,23.77,33,Gary Trent Jr.,6-5
362,Phi,F,37.47,17,P.J. Tucker,6-5
363,Nor,C,30.47,17,Jonas Valančiūnas,6-11
364,Uta,F,23.56,8,Jarred Vanderbilt,6-9
365,Tor,G,28.66,23,Fred VanVleet,6-1
366,San,G-F,22.17,24,Devin Vassell,6-5
367,Mia,G,26.36,2,Gabe Vincent,6-3
368,Bos,F,27.17,4,Noah Vonleh,6-10
369,Chi,C,32.0,9,Nikola Vučević,6-10
370,Cle,F-C,25.93,32,Dean Wade,6-9
371,Orl,F,21.16,22,Franz Wagner,6-9
372,Lal,G-F,23.86,4,Lonnie Walker IV,6-4
373,Por,F,20.24,34,Jabari Walker,6-9
374,Lac,G,32.13,11,John Wall,6-3
375,Pho,G,22.59,4,Duane Washington Jr.,6-3
376,Cha,F,24.17,25,P.J. Washington,6-7
